#FILE	NUM_FOUND	fosX	lmo0919_fam
AMR/SRR27013294_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_amr.tab	2	100.00	100.00
AMR/SRR27013295_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_amr.tab	2	100.00	100.00
AMR/SRR27013296_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_amr.tab	2	100.00	100.00
AMR/SRR27013297_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_amr.tab	2	100.00	100.00
AMR/SRR27013298_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_amr.tab	2	100.00	100.00
AMR/SRR27013299_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_amr.tab	2	100.00	100.00
AMR/SRR27013300_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_amr.tab	2	100.00	100.00
AMR/SRR27013301_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_amr.tab	2	100.00	100.00
AMR/SRR27013302_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_amr.tab	2	100.00	100.00
AMR/SRR27013303_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_amr.tab	2	100.00	100.00
AMR/SRR27013304_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_amr.tab	2	100.00	100.00
AMR/SRR27013305_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_amr.tab	2	100.00	100.00
AMR/SRR27013306_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_amr.tab	2	100.00	100.00
AMR/SRR27013307_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_amr.tab	2	100.00	100.00
AMR/SRR27013308_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_amr.tab	2	100.00	100.00
AMR/SRR27013309_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_amr.tab	2	100.00	100.00
AMR/SRR27013310_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_amr.tab	2	100.00	100.00
AMR/SRR27013311_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_amr.tab	2	100.00	100.00
AMR/SRR27013312_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_amr.tab	2	100.00	100.00
AMR/SRR27013313_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_amr.tab	2	100.00	100.00
AMR/SRR27013314_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_amr.tab	2	100.00	100.00
AMR/SRR27013315_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_amr.tab	2	100.00	100.00
AMR/SRR27013316_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_amr.tab	2	100.00	100.00
AMR/SRR27013317_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_amr.tab	2	100.00	100.00
AMR/SRR27013318_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_amr.tab	2	100.00	100.00
AMR/SRR27013319_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_amr.tab	2	100.00	100.00
AMR/SRR27013320_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_amr.tab	2	100.00	100.00
AMR/SRR27013321_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_amr.tab	2	100.00	100.00
AMR/SRR27013322_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_amr.tab	2	100.00	100.00
AMR/SRR27013323_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_amr.tab	2	100.00	100.00
AMR/SRR27013324_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_amr.tab	2	100.00	100.00
AMR/SRR27013325_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_amr.tab	2	100.00	100.00
AMR/SRR27013326_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_amr.tab	2	100.00	100.00
AMR/SRR27013327_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_amr.tab	2	100.00	100.00
AMR/SRR27013328_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_amr.tab	2	100.00	100.00
AMR/SRR27013329_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_amr.tab	2	100.00	100.00
AMR/SRR27013330_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_amr.tab	2	100.00	100.00
AMR/SRR27013331_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_amr.tab	2	100.00	100.00
AMR/SRR27013332_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_amr.tab	2	100.00	100.00
AMR/SRR27013333_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_amr.tab	2	100.00	100.00
AMR/SRR27013334_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_amr.tab	2	100.00	100.00
AMR/SRR27013335_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_amr.tab	2	100.00	100.00
AMR/SRR27013336_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_amr.tab	2	100.00	100.00
AMR/SRR27013337_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_amr.tab	2	100.00	100.00
AMR/SRR27013338_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_amr.tab	2	100.00	100.00
AMR/SRR27013339_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_amr.tab	2	100.00	100.00
AMR/SRR27013340_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_amr.tab	2	100.00	100.00
AMR/SRR27013341_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_amr.tab	2	100.00	100.00
AMR/SRR27013342_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_amr.tab	2	100.00	100.00
AMR/SRR27013343_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_amr.tab	2	100.00	100.00
